State,id,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,2/1/2021,3/1/2021,4/1/2021,5/1/2021,6/1/2021
Rhode Island,44,0,0,0.73,23.51,41.19,21.14,5.19,3.74,6.01,7.93,15.67,36.81,34.35,31.71,10.66,4.74,3.37,1.28
South Carolina,45,0,0,0.43,4.34,4.88,4.79,19.01,19.69,12.86,10.88,8.71,17.88,34.11,29.38,11.72,6.86,4.67,0.78
South Dakota,46,0,0,0.11,1.8,5.08,3.27,4.4,4.17,6.32,22.78,58.76,61.13,32.71,12.41,5.3,3.61,5.3,1.35
Tennessee,47,0,0,0.19,2.71,2.32,3.43,6.51,9.84,10.16,12.92,17.71,33.28,39.23,25.47,6.96,4.37,3.49,0.82
Texas,48,0,0,0.2,2.65,2.93,2.74,16.44,19.16,11.13,8.4,11.73,21.23,31.18,23.01,15.74,6.4,4.36,1.45
Utah,49,0,0,0.15,1.25,2.05,1.8,4.16,3.09,1.56,4.4,8.16,12.2,12.07,8.25,5.72,2.45,3.06,0.64
Vermont,50,0,0,2.02,5.44,1.09,0.16,0.16,0.16,0,0,1.71,10.42,5.91,4.67,3.58,2.95,1.4,0.16
Virginia,51,0,0,0.31,6.08,9.53,4.5,4.76,4.7,7.28,5.17,4.73,11.24,16.59,24.19,19.7,6,4.82,1.24
Washington,53,0,0.01,2.92,7.73,3.95,2.69,4.15,4.53,2.86,3.19,5.54,8.15,10.98,8.5,3.7,3.09,3.4,0.62
West Virginia,54,0,0,0.06,2.4,1.73,1,1.28,5.46,7.58,5.97,15.5,33.62,38.24,15.39,20.96,0.17,6.3,3.18
Wisconsin,55,0,0,0.42,4.94,4.72,3.38,2.55,3.21,3.5,12.79,23.96,29.54,20.22,9.87,5.04,3.97,5.19,2.66
Wyoming,56,0,0,0,1.21,1.56,0.69,1.04,1.91,2.25,6.41,22.19,38.66,27.39,13,5.03,1.21,2.08,1.04
